,Category,Citation Category,Year,Count
125,Security and Privacy,Networks and Communications,2000,0
126,Security and Privacy,Security and Privacy,2000,8
127,Security and Privacy,Society and the Computing Profession,2000,4
128,Security and Privacy,Software Engineering and Programming Languages,2000,4
129,Security and Privacy,"Web, Mobile and Multimedia Technologies",2000,0
130,Society and the Computing Profession,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,3
131,Society and the Computing Profession,"Architecture, Embedded Systems and Electronics, Robotics",2000,2
132,Society and the Computing Profession,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,0
133,Society and the Computing Profession,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,1
134,Society and the Computing Profession,"Computational Theory, Algorithms and Mathematics",2000,1
135,Society and the Computing Profession,Graphics and Computer-Aided Design,2000,0
136,Society and the Computing Profession,"Hardware, Power and Energy",2000,0
137,Society and the Computing Profession,Human Computer Interaction,2000,3
138,Society and the Computing Profession,Networks and Communications,2000,0
139,Society and the Computing Profession,Security and Privacy,2000,1
140,Society and the Computing Profession,Society and the Computing Profession,2000,5
141,Society and the Computing Profession,Software Engineering and Programming Languages,2000,2
142,Society and the Computing Profession,"Web, Mobile and Multimedia Technologies",2000,1
143,Software Engineering and Programming Languages,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,1
144,Software Engineering and Programming Languages,"Architecture, Embedded Systems and Electronics, Robotics",2000,5
145,Software Engineering and Programming Languages,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,1
146,Software Engineering and Programming Languages,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,2
147,Software Engineering and Programming Languages,"Computational Theory, Algorithms and Mathematics",2000,4
148,Software Engineering and Programming Languages,Graphics and Computer-Aided Design,2000,0
149,Software Engineering and Programming Languages,"Hardware, Power and Energy",2000,5
150,Software Engineering and Programming Languages,Human Computer Interaction,2000,6
151,Software Engineering and Programming Languages,Networks and Communications,2000,7
152,Software Engineering and Programming Languages,Security and Privacy,2000,3
153,Software Engineering and Programming Languages,Society and the Computing Profession,2000,6
154,Software Engineering and Programming Languages,Software Engineering and Programming Languages,2000,42
155,Software Engineering and Programming Languages,"Web, Mobile and Multimedia Technologies",2000,2
156,"Web, Mobile and Multimedia Technologies","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2000,0
157,"Web, Mobile and Multimedia Technologies","Architecture, Embedded Systems and Electronics, Robotics",2000,0
158,"Web, Mobile and Multimedia Technologies","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2000,0
159,"Web, Mobile and Multimedia Technologies","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2000,6
160,"Web, Mobile and Multimedia Technologies","Computational Theory, Algorithms and Mathematics",2000,1
161,"Web, Mobile and Multimedia Technologies",Graphics and Computer-Aided Design,2000,0
162,"Web, Mobile and Multimedia Technologies","Hardware, Power and Energy",2000,0
163,"Web, Mobile and Multimedia Technologies",Human Computer Interaction,2000,2
164,"Web, Mobile and Multimedia Technologies",Networks and Communications,2000,0
165,"Web, Mobile and Multimedia Technologies",Security and Privacy,2000,0
166,"Web, Mobile and Multimedia Technologies",Society and the Computing Profession,2000,0
167,"Web, Mobile and Multimedia Technologies",Software Engineering and Programming Languages,2000,0
168,"Web, Mobile and Multimedia Technologies","Web, Mobile and Multimedia Technologies",2000,0
169,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,71
170,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Architecture, Embedded Systems and Electronics, Robotics",2001,6
171,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,20
172,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,30
173,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Computational Theory, Algorithms and Mathematics",2001,6
174,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Graphics and Computer-Aided Design,2001,17
175,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Hardware, Power and Energy",2001,5
176,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Human Computer Interaction,2001,30
177,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Networks and Communications,2001,7
178,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Security and Privacy,2001,5
179,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Society and the Computing Profession,2001,10
180,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",Software Engineering and Programming Languages,2001,8
181,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment","Web, Mobile and Multimedia Technologies",2001,3
182,"Architecture, Embedded Systems and Electronics, Robotics","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,50
183,"Architecture, Embedded Systems and Electronics, Robotics","Architecture, Embedded Systems and Electronics, Robotics",2001,69
184,"Architecture, Embedded Systems and Electronics, Robotics","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,12
185,"Architecture, Embedded Systems and Electronics, Robotics","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,11
186,"Architecture, Embedded Systems and Electronics, Robotics","Computational Theory, Algorithms and Mathematics",2001,21
187,"Architecture, Embedded Systems and Electronics, Robotics",Graphics and Computer-Aided Design,2001,27
188,"Architecture, Embedded Systems and Electronics, Robotics","Hardware, Power and Energy",2001,64
189,"Architecture, Embedded Systems and Electronics, Robotics",Human Computer Interaction,2001,5
190,"Architecture, Embedded Systems and Electronics, Robotics",Networks and Communications,2001,30
191,"Architecture, Embedded Systems and Electronics, Robotics",Security and Privacy,2001,2
192,"Architecture, Embedded Systems and Electronics, Robotics",Society and the Computing Profession,2001,2
193,"Architecture, Embedded Systems and Electronics, Robotics",Software Engineering and Programming Languages,2001,33
194,"Architecture, Embedded Systems and Electronics, Robotics","Web, Mobile and Multimedia Technologies",2001,0
195,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,8
196,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Architecture, Embedded Systems and Electronics, Robotics",2001,10
197,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,54
198,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,18
199,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Computational Theory, Algorithms and Mathematics",2001,12
200,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Graphics and Computer-Aided Design,2001,38
201,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Hardware, Power and Energy",2001,10
202,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Human Computer Interaction,2001,12
203,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Networks and Communications,2001,3
204,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Security and Privacy,2001,4
205,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Society and the Computing Profession,2001,3
206,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",Software Engineering and Programming Languages,2001,8
207,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing","Web, Mobile and Multimedia Technologies",2001,3
208,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,34
209,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Architecture, Embedded Systems and Electronics, Robotics",2001,6
210,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,24
211,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,178
212,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Computational Theory, Algorithms and Mathematics",2001,25
213,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Graphics and Computer-Aided Design,2001,5
214,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Hardware, Power and Energy",2001,12
215,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Human Computer Interaction,2001,13
216,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Networks and Communications,2001,13
217,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Security and Privacy,2001,8
218,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Society and the Computing Profession,2001,1
219,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",Software Engineering and Programming Languages,2001,14
220,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science","Web, Mobile and Multimedia Technologies",2001,7
221,"Computational Theory, Algorithms and Mathematics","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,16
222,"Computational Theory, Algorithms and Mathematics","Architecture, Embedded Systems and Electronics, Robotics",2001,5
223,"Computational Theory, Algorithms and Mathematics","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,9
224,"Computational Theory, Algorithms and Mathematics","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,12
225,"Computational Theory, Algorithms and Mathematics","Computational Theory, Algorithms and Mathematics",2001,54
226,"Computational Theory, Algorithms and Mathematics",Graphics and Computer-Aided Design,2001,16
227,"Computational Theory, Algorithms and Mathematics","Hardware, Power and Energy",2001,14
228,"Computational Theory, Algorithms and Mathematics",Human Computer Interaction,2001,1
229,"Computational Theory, Algorithms and Mathematics",Networks and Communications,2001,15
230,"Computational Theory, Algorithms and Mathematics",Security and Privacy,2001,1
231,"Computational Theory, Algorithms and Mathematics",Society and the Computing Profession,2001,0
232,"Computational Theory, Algorithms and Mathematics",Software Engineering and Programming Languages,2001,17
233,"Computational Theory, Algorithms and Mathematics","Web, Mobile and Multimedia Technologies",2001,2
234,Graphics and Computer-Aided Design,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,6
235,Graphics and Computer-Aided Design,"Architecture, Embedded Systems and Electronics, Robotics",2001,8
236,Graphics and Computer-Aided Design,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,45
237,Graphics and Computer-Aided Design,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,1
238,Graphics and Computer-Aided Design,"Computational Theory, Algorithms and Mathematics",2001,8
239,Graphics and Computer-Aided Design,Graphics and Computer-Aided Design,2001,210
240,Graphics and Computer-Aided Design,"Hardware, Power and Energy",2001,0
241,Graphics and Computer-Aided Design,Human Computer Interaction,2001,30
242,Graphics and Computer-Aided Design,Networks and Communications,2001,1
243,Graphics and Computer-Aided Design,Security and Privacy,2001,0
244,Graphics and Computer-Aided Design,Society and the Computing Profession,2001,2
245,Graphics and Computer-Aided Design,Software Engineering and Programming Languages,2001,0
246,Graphics and Computer-Aided Design,"Web, Mobile and Multimedia Technologies",2001,0
247,"Hardware, Power and Energy","Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,65
248,"Hardware, Power and Energy","Architecture, Embedded Systems and Electronics, Robotics",2001,43
249,"Hardware, Power and Energy","Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,11
250,"Hardware, Power and Energy","Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,4
251,"Hardware, Power and Energy","Computational Theory, Algorithms and Mathematics",2001,7
252,"Hardware, Power and Energy",Graphics and Computer-Aided Design,2001,2
253,"Hardware, Power and Energy","Hardware, Power and Energy",2001,158
254,"Hardware, Power and Energy",Human Computer Interaction,2001,2
255,"Hardware, Power and Energy",Networks and Communications,2001,8
256,"Hardware, Power and Energy",Security and Privacy,2001,1
257,"Hardware, Power and Energy",Society and the Computing Profession,2001,1
258,"Hardware, Power and Energy",Software Engineering and Programming Languages,2001,22
259,"Hardware, Power and Energy","Web, Mobile and Multimedia Technologies",2001,0
260,Human Computer Interaction,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,13
261,Human Computer Interaction,"Architecture, Embedded Systems and Electronics, Robotics",2001,6
262,Human Computer Interaction,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,10
263,Human Computer Interaction,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,3
264,Human Computer Interaction,"Computational Theory, Algorithms and Mathematics",2001,1
265,Human Computer Interaction,Graphics and Computer-Aided Design,2001,11
266,Human Computer Interaction,"Hardware, Power and Energy",2001,3
267,Human Computer Interaction,Human Computer Interaction,2001,64
268,Human Computer Interaction,Networks and Communications,2001,6
269,Human Computer Interaction,Security and Privacy,2001,2
270,Human Computer Interaction,Society and the Computing Profession,2001,7
271,Human Computer Interaction,Software Engineering and Programming Languages,2001,2
272,Human Computer Interaction,"Web, Mobile and Multimedia Technologies",2001,8
273,Networks and Communications,"Applied Computing. Industry+Business, Physical Sciences, Life Sciences, Education, Law, Forensics, Arts+Humanities, Entertainment",2001,15
274,Networks and Communications,"Architecture, Embedded Systems and Electronics, Robotics",2001,16
275,Networks and Communications,"Artificial Intelligence, Machine Learning, Computer Vision, Natural language processing",2001,8
276,Networks and Communications,"Information Systems, Search, Information Retrieval, Database Systems, Data Mining, Data Science",2001,4
277,Networks and Communications,"Computational Theory, Algorithms and Mathematics",2001,22
278,Networks and Communications,Graphics and Computer-Aided Design,2001,0
279,Networks and Communications,"Hardware, Power and Energy",2001,7
